song,artist,tempo,valence
"Hot N Cold","Katy Perry",132.032,0.861
"Right Now (Na Na Na)",Akon,137.982,0.607
"Pjanoo - Radio Edit","Eric Prydz",125.99,0.836
"Give It 2 Me",Madonna,127.019,0.972
"Crank That (Soulja Boy)","Soulja Boy",140.141,0.803
"A Milli","Lil Wayne",151.486,0.773
"See You Again","Miley Cyrus",138.975,0.801
"You're Gonna Go Far, Kid","The Offspring",126.115,0.601
Damaged,"Danity Kane",120.01,0.818
Wow,"Kylie Minogue",124.072,0.851
"Into the Night (feat. Chad Kroeger)",Santana,127.981,0.603
"Wearing My Rolex - Radio Edit",Wiley,131.942,0.755
"That's Not My Name","The Ting Tings",145.042,0.959
"Shake It","Metro Station",150.034,0.79
Mercy,Duffy,129.911,0.964
"In Love With a Girl","Gavin DeGraw",161.905,0.684
"Sexy Can I feat. Yung Berg","Ray J",172.155,0.926
"I Gotta Feeling","Black Eyed Peas",127.96,0.61
"Sexy Bitch (feat. Akon)","David Guetta",130.011,0.801
"Right Round","Flo Rida",124.986,0.705
"Hotel Room Service",Pitbull,126.003,0.761
Monster,Skillet,134.992,0.692
"Day 'N' Nite (Nightmare)","Kid Cudi",138.018,0.803
"I Know You Want Me (Calle Ocho)",Pitbull,127.045,0.8
"Sweet Dreams",Beyonc̩,121.949,0.788
"Release Me",Agnes,127.973,0.716
"She Wolf",Shakira,121.983,0.867
"Empire State Of Mind",JAY-Z,173.585,0.811
"All The Right Moves",OneRepublic,146.024,0.65
"Evacuate The Dancefloor",Cascada,127.029,0.898
Bonkers,"Dizzee Rascal",126.127,0.74
"Fight For This Love",Cheryl,122.988,0.727
"Kiss Me Thru The Phone","Soulja Boy",149.998,0.795
"Beat Again - Radio Edit",JLS,120.02,0.968
"Jai Ho! (You Are My Destiny)","A.R. Rahman",136.202,0.879
Beautiful,Akon,130.015,0.629
"Bad Boys (feat. Flo Rida)","Alexandra Burke",140.029,0.636
Naturally,"Selena Gomez & The Scene",132.612,0.875
"Throw It In The Bag",Fabolous,172.049,0.696
"Whatcha Say","Jason Derulo",144.036,0.711
"Not Fair","Lily Allen",121.491,0.948
"Fire Burning","Sean Kingston",122.973,0.888
"Walking On A Dream","Empire of the Sun",126.975,0.716
Bulletproof,"La Roux",123.016,0.682
"One Time","Justin Bieber",145.999,0.762
"In For The Kill","La Roux",150.01,0.905
"Everybody in Love",JLS,140.022,0.656
"Best I Ever Had",Drake,162.161,0.605
Mad,Ne-Yo,129.94,0.691
"Knock You Down","Keri Hilson",155.165,0.645
"TiK ToK",Kesha,120.028,0.714
"Only Girl (In The World)",Rihanna,125.906,0.611
"Take It Off",Kesha,125.036,0.74
"Like A G6","Far East Movement",124.913,0.778
"Danza Kuduro (feat. Don Omar)",Lucenzo,130.003,0.773
"Te Amo",Rihanna,171.917,0.751
"Rude Boy",Rihanna,173.906,0.812
"One (Your Name) - Radio Edit","Swedish House Mafia",125.061,0.636
"Eenie Meenie","Sean Kingston",121.223,0.828
"Cooler Than Me - Single Mix","Mike Posner",129.965,0.625
Telephone,"Lady Gaga",122.014,0.716
"We No Speak Americano (JT Radio Edit)","Yolanda Be Cool",124.996,0.737
"I Like It","Enrique Iglesias",129.007,0.73
"My First Kiss (feat. Ke$ha)",3OH!3,138.021,0.827
"Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah","Swedish House Mafia",125.03,0.658
"Whatcha Say","Jason Derulo",144.036,0.711
Kickstarts,Example,126.056,0.657
"She Said","Plan B",147.007,0.815
"Do You Remember","Jay Sean",125.846,0.803
"All Time Low","The Wanted",134.036,0.783
"Your Love Is My Drug",Kesha,120.057,0.756
"What You Know","Two Door Cinema Club",139.048,0.841
Animal,"Neon Trees",147.99,0.739
"Moves Like Jagger - Studio Recording From "The Voice"" Performance"","Maroon 5",128.044,0.624
Firework,"Katy Perry",124.071,0.648
"Hey Baby (Drop It to the Floor) (feat. T-Pain)",Pitbull,128.024,0.762
"Mr. Saxobeat","Alexandra Stan",126.976,0.797
"Who's That Chick? (feat. Rihanna)","David Guetta",127.938,0.933
S&M,Rihanna,127.975,0.833
Blow,Kesha,120.013,0.812
"Sweat - Remix","Snoop Dogg",130.02,0.731
Higher,"Taio Cruz",128.027,0.746
"More - RedOne Jimmy Joker Remix",Usher,125.083,0.794
E.T.,"Katy Perry",151.684,0.76
"I Wanna Go","Britney Spears",130.002,0.787
"Loca People - Radio Edit","Sak Noel",127.998,0.701
"Sexy And I Know It",LMFAO,130.021,0.795
"You Make Me Feel... (feat. Sabi)","Cobra Starship",131.959,0.748
"When We Stand Together",Nickelback,187.961,0.88
"Don't Wanna Go Home","Jason Derulo",121.956,0.637
"Last Friday Night (T.G.I.F.)","Katy Perry",126.03,0.765
"Yeah 3x","Chris Brown",130,0.7
"What the Hell","Avril Lavigne",149.976,0.877
"Super Bass","Nicki Minaj",126.991,0.669
