year,artist,song,popularity
2000,"Limp Bizkit","Take A Look Around",72
2001,"The Calling","Wherever You Will Go",72
2002,Coldplay,"In My Place",72
2003,"Linkin Park",Faint,72
2003,"Three Days Grace","I Hate Everything About You",72
2002,Trapt,Headstrong,72
2003,"50 Cent","21 Questions",72
2004,"Eric Prydz","Call on Me - Radio Mix",72
2003,Evanescence,"My Immortal",72
2004,Twista,"Slow Jamz",72
2004,Mario,"Let Me Love You",72
2004,"Green Day","Boulevard of Broken Dreams",72
2005,"The Pussycat Dolls","Don't Cha",72
2005,"50 Cent","Disco Inferno",72
2005,Shakira,"La Tortura (feat. Alejandro Sanz)",72
2006,"Justin Timberlake","My Love (feat. T.I.)",72
2006,"Arctic Monkeys","When The Sun Goes Down",72
2005,"Keyshia Cole",Love,72
2006,"Justin Timberlake","My Love (feat. T.I.)",72
2007,Paramore,"Misery Business",72
2008,"The Pussycat Dolls","When I Grow Up",72
2009,"Black Eyed Peas","Meet Me Halfway",72
2009,"Kid Cudi","Day 'N' Nite (Nightmare)",72
2012,"Katy Perry","California Gurls",72
2010,"Travie McCoy","Billionaire (feat. Bruno Mars)",72
2010,"Katy Perry",Firework,72
2012,"David Guetta","Where Them Girls At (feat. Nicki Minaj & Flo Rida)",72
2010,Jeremih,"Down On Me",72
2011,"Lady Gaga","Born This Way",72
1999,DMX,"Party Up",71
1999,Wheatus,"Teenage Dirtbag",71
2001,"Blu Cantrell","Hit 'Em Up Style (Oops!)",71
1999,"Crazy Town",Butterfly,71
2002,Eminem,"Cleanin' Out My Closet",71
2002,JAY-Z,"03' Bonnie & Clyde",71
2002,Eminem,"Sing For The Moment",71
2005,"Chris Brown","Run It! (feat. Juelz Santana)",71
2006,"Arctic Monkeys","I Bet You Look Good On The Dancefloor",71
2004,"Kelly Clarkson","Because of You",71
2005,"KT Tunstall","Suddenly I See",71
2004,"Kelly Clarkson","Since U Been Gone",71
2006,"Amy Winehouse",Rehab,71
2005,Chamillionaire,Ridin',71
2006,"Gwen Stefani","The Sweet Escape",71
2008,Ne-Yo,"Miss Independent",71
2009,Madonna,"4 Minutes (feat. Justin Timberlake & Timbaland)",71
2008,Usher,"Love in This Club (feat. Young Jeezy)",71
2009,"Sean Kingston","Fire Burning",71
2009,"La Roux",Bulletproof,71
2009,"Justin Bieber","One Time",71
2009,"Young Money",BedRock,71
2009,"Alicia Keys","Empire State of Mind (Part II) Broken Down",71
2011,Pitbull,"Hey Baby (Drop It to the Floor) (feat. T-Pain)",71
2010,"David Guetta","Who's That Chick? (feat. Rihanna)",71
2011,"Dr. Dre","I Need A Doctor",71
2011,"Chris Brown","Look At Me Now (feat. Lil' Wayne & Busta Rhymes)",71
2010,Kesha,"We R Who We R",71
2000,"Craig David","7 Days",70
1999,"Destiny's Child","Jumpin', Jumpin'",70
2000,"Backstreet Boys","Shape of My Heart",70
2001,"Destiny's Child",Survivor,70
2002,"Missy Elliott","Work It",70
2002,Ashanti,Foolish,70
2001,"Puddle Of Mudd","She Hates Me",70
2002,"Jennifer Lopez","Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix",70
2007,DMX,"X Gon' Give It To Ya",70
2003,"Limp Bizkit","Behind Blue Eyes",70
2002,"Missy Elliott","Work It",70
2002,"Avril Lavigne","I'm with You",70
2004,Juanes,"La Camisa Negra",70
2007,BeyoncÃ©,Irreplaceable,70
2006,Rihanna,Unfaithful,70
2005,Nickelback,"Far Away",70
2005,"Panic! At The Disco","I Write Sins Not Tragedies",70
2006,"Justin Timberlake","What Goes Around.../...Comes Around (Interlude)",70
2007,Timbaland,"Give It To Me",70
2007,Lloyd,You,70
2007,"Chris Brown","With You",70
2007,Madcon,"Beggin (original version)",70
2008,"James Morrison","Broken Strings",70
2008,"Lady Gaga",Paparazzi,70
2009,Eminem,"Crack A Bottle",70
2008,3OH!3,DONTTRUSTME,70
2010,"Jason Derulo","Whatcha Say",70
2008,"James Morrison","Broken Strings",70
2010,"Jason Derulo","Whatcha Say",70
2011,"Cobra Starship","You Make Me Feel... (feat. Sabi)",70
2011,"DJ Khaled","I'm On One",70
1999,Sisqo,"Thong Song",69
2001,Darude,Sandstorm,69
1999,JAY-Z,"Big Pimpin'",69
1999,Creed,Higher,69
2001,"Britney Spears","I'm a Slave 4 U",69
2001,P.O.D.,"Youth of the Nation",69
2000,Enya,"Only Time",69
2001,Gabrielle,"Out Of Reach",69
2004,Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",69
2001,Creed,"My Sacrifice",69
2003,Jamelia,Superstar,69
2003,Chingy,"Right Thurr",69
2005,"Mariah Carey","We Belong Together",69
2004,"Gwen Stefani","Hollaback Girl",69
2005,Stereophonics,Dakota,69
2005,Coldplay,"Speed of Sound",69
2006,"Bob Sinclar","Rock This Party - Everybody Dance Now",69
2005,"Mary J. Blige","Be Without You - Kendu Mix",69
2006,"Rascal Flatts","What Hurts The Most",69
2005,"Chris Brown","Yo (Excuse Me Miss)",69
2008,Rihanna,"Shut Up And Drive",69
2005,Nickelback,Rockstar,69
2006,MIKA,"Grace Kelly",69
2008,"Lil Wayne",Lollipop,69
2008,Akon,"Right Now (Na Na Na)",69
2008,Jeezy,"Put On",69
2008,"Lil Wayne","A Milli",69
2008,"Saving Abel",Addicted,69
2008,Duffy,Mercy,69
2008,"Lady Gaga",LoveGame,69
2008,"Britney Spears","If U Seek Amy",69
2010,"David Guetta","When Love Takes Over (feat. Kelly Rowland)",69
2009,Timbaland,"Carry Out (Featuring Justin Timberlake)",69
2010,"Black Eyed Peas","The Time (Dirty Bit)",69
2009,"Lady Gaga",Telephone,69
2010,Kesha,"Your Love Is My Drug",69
2010,"Katy Perry","Teenage Dream",69
2010,Kesha,Blow,69
2011,"Chris Brown","Yeah 3x",69
2010,"Diddy - Dirty Money","Coming Home",69
2000,"Robbie Williams","Rock DJ",68
1999,"Backstreet Boys","Show Me the Meaning of Being Lonely",68
2000,Westlife,"My Love",68
2000,"The Corrs",Breathless,68
2000,Nelly,"Country Grammar (Hot Shit)",68
2001,"Christina Aguilera","Lady Marmalade - From "Moulin Rouge"" Soundtrack"",68
2001,"Missy Elliott","Get Ur Freak On",68
2001,D12,"Purple Pills",68
2001,Afroman,"Because I Got High",68
2000,"Lenny Kravitz",Again,68
2001,Travis,Sing,68
2002,"Busta Rhymes","I Know What You Want (feat. Flipmode Squad)",68
2002,"Christina Aguilera","Dirrty (feat. Redman)",68
2001,P!nk,"Get the Party Started",68
2003,"Black Eyed Peas","Where Is The Love?",68
2002,"Busta Rhymes","I Know What You Want (feat. Flipmode Squad)",68
2003,Nickelback,Someday,68
2002,"Good Charlotte","Lifestyles of the Rich & Famous",68
2003,"The Rasmus","In the Shadows",68
2003,Kelis,Milkshake,68
2003,"Linkin Park","Breaking the Habit",68
2002,"Sean Paul","I'm Still in Love with You (feat. Sasha)",68
2004,"Avril Lavigne","My Happy Ending",68
2004,"Gwen Stefani","Rich Girl",68
2004,2Pac,"Ghetto Gospel",68
2005,"The Pussycat Dolls",Buttons,68
2005,"The Notorious B.I.G.","Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",68
2005,Eminem,"When I'm Gone",68
2006,"Lily Allen",Smile,68
2006,"The Fratellis","Chelsea Dagger",68
2006,Ciara,"Like a Boy",68
2007,"Chris Brown","Kiss Kiss (feat. T-Pain)",68
2007,"Fall Out Boy","This Ain't A Scene, It's An Arms Race",68
2007,"James Blunt",1973,68
2007,"Avril Lavigne","When You're Gone",68
2007,"Chris Brown","Kiss Kiss (feat. T-Pain)",68
2011,"Dizzee Rascal","Dance Wiv Me - Radio Edit",68
2008,"Jonas Brothers","Burnin' Up",68
2009,"Black Eyed Peas","Boom Boom Pow",68
2009,Shakira,"She Wolf",68
2009,"Linkin Park","New Divide",68
2008,T.I.,"Dead And Gone",68
2009,"Kelly Clarkson","My Life Would Suck Without You",68
2009,"Mumford & Sons","Little Lion Man",68
2010,Kesha,"Take It Off",68
2011,"Chris Brown","Deuces (feat. Tyga & Kevin McCall)",68
2009,Timbaland,"If We Ever Meet Again (Featuring Katy Perry)",68
2010,Rihanna,"Man Down",68
2010,Ludacris,"My Chick Bad",68
2010,"Lil Wayne","Right Above It",68
2011,"Snoop Dogg","Sweat - Remix",68
2001,"Jennifer Lopez","Love Don't Cost a Thing",67
2001,"Jagged Edge","Where the Party At (feat. Nelly)",67
2002,Camâ€™ron,"Oh Boy",67
2003,"Pharrell Williams","Frontin' (feat. Jay-Z) - Club Mix",67
2002,"Christina Aguilera",Fighter,67
2005,"Snoop Dogg",Beautiful,67
2002,"3 Doors Down","When I'm Gone",67
2002,"Junior Senior","Move Your Feet",67
2003,Fabolous,"Into You (feat. Tamia)",67
2004,"Terror Squad","Lean Back",67
2004,Ciara,"Goodies (feat. Petey Pablo)",67
2004,"Nina Sky","Move Ya Body",67
2004,Eminem,"Just Lose It",67
2004,"Kevin Lyttle","Turn Me On",67
2005,"Crazy Frog","Axel F",67
2005,"Black Eyed Peas","My Humps",67
2005,"Missy Elliott","Lose Control (feat. Ciara & Fat Man Scoop)",67
2005,Nickelback,Photograph,67
2005,"The Pussycat Dolls",Stickwitu,67
2004,Eminem,"Like Toy Soldiers",67
2005,"Toby Keith","As Good As I Once Was",67
2006,"Lil Jon","Snap Yo Fingers",67
2006,Ne-Yo,"Sexy Love",67
2005,"The Pussycat Dolls",Stickwitu,67
2005,"James Blunt","Goodbye My Lover",67
2006,Razorlight,America,67
2007,"50 Cent","Ayo Technology",67
2007,"Arctic Monkeys",Brianstorm,67
2007,"Kaiser Chiefs",Ruby,67
2007,"Metro Station","Shake It",67
2008,"David Archuleta",Crush,67
2007,"Leona Lewis","Better in Time",67
2009,Jeremih,"Birthday Sex",67
2008,BeyoncÃ©,"Single Ladies (Put a Ring on It)",67
2009,"The Fray","Never Say Never",67
2008,Shinedown,"Second Chance",67
2009,Rihanna,"Te Amo",67
2009,"Lady Gaga",Alejandro,67
2010,"Maroon 5",Misery,67
2010,Usher,"More - RedOne Jimmy Joker Remix",67
2011,LMFAO,"Sexy And I Know It",67
1999,"Faith Hill",Breathe,66
2000,"Toni Braxton","He Wasn't Man Enough",66
1999,Santana,"Maria Maria (feat. The Product G&B)",66
2001,"Atomic Kitten","Whole Again",66
2001,"Jennifer Lopez","I'm Real (feat. Ja Rule) - Murder Remix",66
2002,"Las Ketchup","The Ketchup Song (AserejÃ©) - Spanglish Version",66
2003,"Chad Kroeger","Hero (feat. Josey Scott)",66
2003,"Benny Benassi","Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz",66
2003,Outkast,"The Way You Move (feat. Sleepy Brown)",66
2016,"Mario Winans","I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster",66
2004,Twista,"Overnight Celebrity",66
2003,Outkast,"The Way You Move (feat. Sleepy Brown)",66
2004,"Lil Jon & The East Side Boyz","Lovers And Friends",66
2005,"Bow Wow","Like You (feat. Ciara)",66
2006,"Yung Joc","It's Goin' Down (feat. Nitti)",66
2006,"Justin Timberlake","Summer Love",66
2007,Sugababes,"About You Now",66
2006,"Christina Aguilera",Candyman,66
2008,BeyoncÃ©,"If I Were a Boy",66
2007,Plies,"Hypnotized (feat. Akon)",66
2008,"Kanye West","Love Lockdown",66
2009,"Mariah Carey",Obsessed,66
2008,"Kevin Rudolf","Let It Rock",66
2008,"Kanye West","Love Lockdown",66
2008,Nickelback,"If Today Was Your Last Day",66
2010,"Edward Maya","Stereo Love - Radio Edit",66
2011,"Cali Swag District","Teach Me How to Dougie",66
2010,Rihanna,"What's My Name?",66
2010,"Jason Derulo","Ridin' Solo",66
2011,"Britney Spears","I Wanna Go",66
2010,"Edward Maya","Stereo Love - Radio Edit",66
2010,Rihanna,"What's My Name?",66
2000,*NSYNC,"Bye Bye Bye",65
1999,"Tom Jones",Sexbomb,65
2000,"Baha Men","Who Let The Dogs Out",65
2001,"LeAnn Rimes","Can't Fight The Moonlight",65
2001,"Destiny's Child","Independent Women, Pt. 1",65
2000,Joe,"I Wanna Know",65
2000,"Britney Spears",Lucky,65
2001,Lasgo,Something,65
2001,Jamiroquai,"Little L",65
2001,"Janet Jackson","All For You",65
2001,"Destiny's Child","Independent Women, Pt. 1",65
2001,Ginuwine,Differences,65
2002,"Atomic Kitten","The Tide Is High - Radio Mix",65
2003,Ashanti,"Rock Wit U (Awww Baby)",65
2004,Anastacia,"Left Outside Alone",65
2004,"The Shapeshifters","Lola's Theme - Radio Edit",65
2001,"Gary Jules","Mad World (Feat. Michael Andrews)",65
2005,"Jennifer Lopez","Get Right",65
2005,"Bobby V.","Slow Down - 12" Version"",65
2005,"The All-American Rejects","Dirty Little Secret",65
2006,Cherish,"Do It To It",65
2005,Nickelback,"Savin' Me",65
2006,Evanescence,"Call Me When You're Sober",65
2005,"The All-American Rejects","Dirty Little Secret",65
2007,September,"Cry for You",65
2007,Klaxons,"Golden Skans",65
2007,September,"Cry for You",65
2008,"Eric Prydz","Pjanoo - Radio Edit",65
2008,Ne-Yo,Closer,65
2008,Basshunter,"All I Ever Wanted - Radio Edit",65
2008,"Sean Kingston","Take You There",65
2009,Agnes,"Release Me",65
2009,OneRepublic,"All The Right Moves",65
2009,Cheryl,"Fight For This Love",65
2009,"A.R. Rahman","Jai Ho! (You Are My Destiny)",65
2008,Akon,Beautiful,65
2009,"Cobra Starship","Good Girls Go Bad (feat. Leighton Meester)",65
2008,"Jamie Foxx","Blame It",65
2010,"Jason Derulo","In My Head",65
2009,JAY-Z,"Young Forever",65
2010,"Taylor Swift","Back To December",65
2010,B.o.B,"Magic (feat. Rivers Cuomo)",65
2012,"Katy Perry",E.T.,65
2011,Nickelback,"When We Stand Together",65
2011,"Britney Spears","Till the World Ends",65
2011,"Kelly Rowland",Motivation,65
2011,"Swedish House Mafia","Save The World",65
1999,Anastacia,"I'm Outta Love - Radio Edit",64
1999,"Gigi D'Agostino","The Riddle",64
2000,"Mary Mary","Shackles (Praise You)",64
1999,"CÃ©line Dion","That's the Way It Is",64
1999,Creed,"With Arms Wide Open",64
1999,"Christina Aguilera","Come on over Baby (All I Want Is You) - Radio Version",64
2001,"Michael Jackson","You Rock My World",64
2001,"Destiny's Child",Bootylicious,64
2001,"Ja Rule","Livin' It Up",64
2001,Staind,"It's Been Awhile",64
2001,Shakira,"Underneath Your Clothes",64
2002,Tweet,"Oops (Oh My) [feat. Missy Elliott]",64
2002,"Big Tymers","Still Fly",64
2001,"Robbie Williams","Somethin' Stupid",64
2001,"Puddle Of Mudd",Blurry,64
2003,Monica,"So Gone",64
2004,U2,Vertigo,64
2004,Eamon,"Fuck It (I Don't Want You Back)",64
2003,JUVENILE,"Slow Motion",64
2005,Sugababes,"Push The Button",64
2006,"Take That",Patience,64
2006,T.I.,"What You Know",64
2005,"Mary J. Blige",One,64
2005,"KT Tunstall","Black Horse And The Cherry Tree",64
2006,"James Morrison","You Give Me Something",64
2007,BeyoncÃ©,"Beautiful Liar",64
2006,"Take That",Patience,64
2006,Fergie,Glamorous,64
2007,"J. Holiday",Bed,64
2007,"Britney Spears","Piece of Me",64
2008,"The Pussycat Dolls","I Hate This Part",64
2007,"Mary J. Blige","Just Fine",64
2007,"Lupe Fiasco","Superstar (feat. Matthew Santos)",64
2009,Rihanna,"Russian Roulette",64
2008,"The Pussycat Dolls","I Hate This Part",64
2009,Kasabian,Fire,64
2009,"Boys Like Girls","Love Drunk",64
2008,Ne-Yo,Mad,64
2010,"Neon Trees",Animal,64
2010,"The Band Perry","If I Die Young",64
1999,"Donell Jones","U Know What's Up (feat. Lisa "Left Eye"" Lopes)"",63
2001,Blue,"All Rise",63
2001,112,"Peaches & Cream",63
2001,"S Club 7","Don't Stop Movin'",63
2001,JAY-Z,"Izzo (H.O.V.A.)",63
2005,Diddy,"I Need a Girl (Pt. 1) [feat. Usher & Loon]",63
2002,"DJ Sammy",Heaven,63
2003,BeyoncÃ©,"Baby Boy (feat. Sean Paul)",63
2002,"The Roots","The Seed (2.0)",63
2002,"Matchbox Twenty",Unwell,63
2003,"Wayne Wonder","No Letting Go",63
2003,BeyoncÃ©,"Naughty Girl",63
2003,Kelis,"Trick Me",63
2004,T.I.,"Bring Em Out",63
2003,"Britney Spears",Everytime,63
2005,"The Chemical Brothers",Galvanize,63
2005,D4L,"Laffy Taffy",63
2005,"Backstreet Boys",Incomplete,63
2005,"Pretty Ricky","Grind With Me",63
2004,"Destiny's Child","Soldier (feat. T.I. & Lil' Wayne)",63
2005,"Kaiser Chiefs","I Predict A Riot",63
2005,"Chris Brown","Gimme That",63
2006,E-40,"U and Dat (feat. T. Pain & Kandi Girl)",63
2005,D4L,"Laffy Taffy",63
2006,"Amy Winehouse","You Know I'm No Good",63
2006,"Scissor Sisters","I Don't Feel Like Dancin'",63
2006,"Christina Aguilera","Ain't No Other Man",63
2006,Fergie,Fergalicious,63
2008,Basshunter,"Now You're Gone - Video Edit",63
2009,"Alexandra Burke",Hallelujah,63
2008,Coldplay,"Violet Hill",63
2009,Pitbull,"Hotel Room Service",63
2009,Cascada,"Evacuate The Dancefloor",63
2009,Eminem,"We Made You",63
2009,"Selena Gomez & The Scene",Naturally,63
2010,"DJ Fresh","Gold Dust - Radio Edit",63
2010,"Swedish House Mafia","One (Your Name) - Radio Edit",63
2010,"Enrique Iglesias","I Like It",63
2010,Ludacris,"How Low",63
2010,Example,Kickstarts,63
2010,"Enrique Iglesias","Tonight (I'm Fuckin' You)",63
2011,"Jason Derulo","Don't Wanna Go Home",63
1999,Sting,"Desert Rose",62
2000,Sonique,"It Feels So Good",62
2000,"All Saints","Pure Shores",62
2001,"Geri Halliwell","It's Raining Men",62
2001,"Kylie Minogue","In Your Eyes",62
2002,"Sophie Ellis-Bextor","Murder On The Dancefloor",62
2002,"Justin Timberlake","Like I Love You",62
2003,B2K,"Bump, Bump, Bump (feat. P. Diddy)",62
2003,BeyoncÃ©,"Me, Myself and I",62
2005,"Black Eyed Peas","Don't Phunk With My Heart",62
2005,"Ray J","One Wish",62
2005,"Bow Wow","Let Me Hold You (feat. Omarion)",62
2004,"Ryan Cabrera",True,62
2006,Chingy,"Pullin' Me Back",62
2006,Ludacris,"Money Maker",62
2005,"Bubba Sparxxx","Ms. New Booty",62
2007,Lloyd,"Get It Shawty",62
2007,Fabolous,"Make Me Better",62
2007,"Maroon 5","Makes Me Wonder",62
2007,"Boys Like Girls","The Great Escape",62
