artist,apariciones,popularity
Cheryl,1,65.00
"A.R. Rahman",1,65.00
"La Roux",2,65.00
"Jamie Foxx",1,65.00
"Christina Aguilera",8,64.75
Twista,3,64.67
"Gym Class Heroes",3,64.67
"Taylor Swift",3,64.67
"Destiny's Child",10,64.60
Sisqo,2,64.50
"Mary Mary",1,64.00
"Michael Jackson",1,64.00
Staind,1,64.00
Tweet,1,64.00
"Big Tymers",1,64.00
Monica,1,64.00
Eamon,1,64.00
JUVENILE,1,64.00
Basshunter,2,64.00
"Lupe Fiasco",1,64.00
Kasabian,1,64.00
"Neon Trees",1,64.00
"The Band Perry",1,64.00
Lloyd,3,63.67
Fergie,5,63.60
"Keyshia Cole",3,63.33
Chingy,4,63.25
"James Morrison",4,63.25
"Faith Hill",2,63.00
"LeAnn Rimes",2,63.00
Gabrielle,3,63.00
"Atomic Kitten",3,63.00
"Busta Rhymes",4,63.00
"DJ Sammy",1,63.00
"The Roots",1,63.00
"Wayne Wonder",1,63.00
"The Chemical Brothers",1,63.00
D4L,2,63.00
E-40,1,63.00
Razorlight,2,63.00
MIKA,2,63.00
"Boys Like Girls",2,63.00
BeyoncÃ©,12,62.92
"Kaiser Chiefs",3,62.67
Plies,3,62.67
2Pac,2,62.50
Diddy,3,62.33
Creed,4,62.25
Fabolous,4,62.25
Sting,1,62.00
Sonique,1,62.00
"All Saints",1,62.00
"Geri Halliwell",1,62.00
Ginuwine,2,62.00
"Sophie Ellis-Bextor",1,62.00
"Kelly Clarkson",6,62.00
Jeezy,2,62.00
"Ryan Cabrera",1,62.00
"Bubba Sparxxx",1,62.00
The-Dream,2,62.00
"Asher Roth",1,62.00
"Plan B",1,62.00
Labrinth,1,62.00
"Nicole Scherzinger",1,62.00
Anastacia,3,61.67
Santana,2,61.50
"CÃ©line Dion",2,61.50
"S Club 7",2,61.50
Mario,2,61.50
"Craig David",5,61.00
Joe,2,61.00
"Mary J. Blige",6,61.00
"The Supermen Lovers",1,61.00
Lifehouse,1,61.00
"Alicia Keys",6,61.00
"Panjabi MC",1,61.00
Lumidee,1,61.00
Switchfoot,1,61.00
"Lloyd Banks",1,61.00
G-Unit,1,61.00
"Special D.",1,61.00
"Sandi Thom",1,61.00
"Shop Boyz",1,61.00
"Bone Thugs-N-Harmony",1,61.00
"J. Holiday",2,61.00
"Colby O'Donis",1,61.00
"The Saturdays",1,61.00
"Olly Murs",1,61.00
"Missy Elliott",8,60.88
"Take That",4,60.75
"Swedish House Mafia",3,60.67
Madonna,8,60.63
"DJ Khaled",2,60.50
Ciara,7,60.14
"Donell Jones",2,60.00
112,2,60.00
"Marilyn Manson",1,60.00
"Elvis Presley",1,60.00
"Michelle Branch",1,60.00
Tyrese,1,60.00
U2,2,60.00
"Papa Roach",1,60.00
"Dem Franchize Boyz",1,60.00
"Alexandra Burke",2,60.00
"Jennifer Hudson",1,60.00
Drake,4,60.00
"Chase & Status",1,60.00
"Pretty Ricky",3,59.67
Ashanti,6,59.50
Kelis,4,59.50
"Jagged Edge",3,59.33
"Montell Jordan",1,59.00
"Ronan Keating",3,59.00
"Trick Daddy",1,59.00
"Disturbing Tha Peace",1,59.00
Khia,1,59.00
Ultrabeat,1,59.00
Houston,1,59.00
"Ying Yang Twins",2,59.00
J-Kwon,1,59.00
LMC,1,59.00
"Bob Sinclar",2,59.00
Keane,1,59.00
MiMS,1,59.00
"Baby Boy Da Prince",1,59.00
T2,1,59.00
Wiley,1,59.00
"Tinchy Stryder",1,59.00
"DJ Fresh",2,59.00
"Rizzle Kicks",1,59.00
"Matchbox Twenty",2,58.50
"Lily Allen",3,58.33
Sugababes,7,58.14
"DJ Ã–tzi",1,58.00
Vengaboys,1,58.00
Ludacris,9,58.00
"Truth Hurts",1,58.00
N.O.R.E.,1,58.00
"Simply Red",1,58.00
Nas,1,58.00
"The Streets",1,58.00
"Elliott Yamin",1,58.00
"The Veronicas",1,58.00
"Fat Joe",3,57.67
"Melanie C",2,57.50
"Katie Melua",2,57.50
"Fort Minor",2,57.50
"Jennifer Lopez",9,57.44
Blue,5,57.20
Mystikal,1,57.00
"Erick Sermon",1,57.00
"Alanis Morissette",1,57.00
"Room 5",1,57.00
Floetry,1,57.00
"George Michael",1,57.00
N.E.R.D,1,57.00
Infernal,1,57.00
Omarion,1,57.00
"Rich Boy",1,57.00
Pendulum,1,57.00
"Danity Kane",1,57.00
"The Prodigy",1,57.00
"Adam Lambert",1,57.00
K'NAAN,1,57.00
"Jessie J",1,57.00
"Lil Jon & The East Side Boyz",2,56.50
"Girls Aloud",4,56.50
"Kylie Minogue",7,56.29
"Eiffel 65",1,56.00
"Janet Jackson",2,56.00
"Ricky Martin",2,56.00
"Madison Avenue",1,56.00
"Marc Anthony",1,56.00
"Sunshine Anderson",1,56.00
OPM,1,56.00
3LW,1,56.00
"The Goo Goo Dolls",1,56.00
O-Zone,1,56.00
"Petey Pablo",1,56.00
"Ashlee Simpson",1,56.00
"Rob Thomas",1,56.00
Jibbs,1,56.00
"The Raconteurs",1,56.00
"Calvin Harris",2,56.00
"Wyclef Jean",1,56.00
"Gabriella Cilmi",1,56.00
"Jack White",1,56.00
"Jordin Sparks",3,55.67
Avant,2,55.50
B2K,2,55.50
"Dizzee Rascal",3,55.33
"Bow Wow",4,55.25
*NSYNC,4,55.00
"Bomfunk MC's",1,55.00
Sammie,1,55.00
Kandi,1,55.00
"Christina Milian",3,55.00
Case,1,55.00
Jaheim,1,55.00
"Will Young",2,55.00
"John Legend",1,55.00
"Tinie Tempah",2,55.00
3OH!3,3,54.67
"Daniel Bedingfield",4,54.50
"Robbie Williams",5,54.20
M.O.P.,1,54.00
Moloko,1,54.00
"Savage Garden",1,54.00
"Erykah Badu",1,54.00
iio,1,54.00
"Emma Bunton",1,54.00
"Rui Da Silva",1,54.00
"DJ Pied Piper & The Masters Of Ceremonies",1,54.00
"Holly Valance",1,54.00
"Delta Goodrem",2,54.00
Youngbloodz,1,54.00
Bodyrockers,1,54.00
"Pixie Lott",1,54.00
"Ellie Goulding",1,54.00
"Snoop Dogg",6,53.83
Dido,3,53.67
MÃ½a,2,53.50
"Da Brat",1,53.00
"Enrique Iglesias",6,53.00
Faithless,1,53.00
Steps,1,53.00
"Faith Evans",1,53.00
A1,1,53.00
"Kelly Rowland",4,53.00
"Scissor Sisters",2,53.00
"Manic Street Preachers",1,53.00
"Lil Wayne",5,53.00
"The Ting Tings",2,53.00
"Sam Sparro",1,53.00
Mis-Teeq,2,52.50
Example,2,52.50
"Ruff Endz",1,52.00
Next,1,52.00
"Carl Thomas",1,52.00
"David Banner",1,52.00
Amerie,1,52.00
"Natalie Imbruglia",1,52.00
Huey,1,52.00
"Just Jack",1,52.00
"Scouting For Girls",1,52.00
"So Solid Crew",1,51.00
"DJ Casper",1,51.00
"Alesha Dixon",1,51.00
"Gavin DeGraw",1,51.00
"Kris Allen",1,51.00
"Lykke Li",1,51.00
"Jessica Simpson",2,50.00
Fragma,1,50.00
"Roger Sanchez",1,50.00
"Counting Crows",1,50.00
"Baby Bash",3,50.00
